persona_id,condition,step,g_disp,g_cos_pre,p_new,p_old,alpha
986,stable_old,6,1.7832540273666382,0.9608235359191895,0.5261421203613281,0.20001640915870667,0.2908630967140198
986,stable_old,7,1.9792145490646362,0.9511242508888245,0.5244365334510803,0.19983264803886414,0.290892094373703
986,stable_old,8,2.158334970474243,0.9412575960159302,0.5227100849151611,0.19968387484550476,0.29091793298721313
986,sustained_new,1,1.0364887714385986,0.9824079871177673,0.5414381623268127,0.2025841623544693,0.2823750376701355
986,sustained_new,2,1.8365907669067383,0.9461357593536377,0.5463913679122925,0.2035771757364273,0.28152215480804443
986,sustained_new,3,2.4704835414886475,0.9052509665489197,0.5484673976898193,0.20416171848773956,0.2809426784515381
986,sustained_new,4,2.98089337348938,0.8655141592025757,0.5492125749588013,0.2043929249048233,0.2805662453174591
986,sustained_new,5,3.396439790725708,0.8290348052978516,0.5492776036262512,0.20438706874847412,0.2803409695625305
986,sustained_new,6,3.7376856803894043,0.7963839173316956,0.5489497780799866,0.2042342871427536,0.28022849559783936
986,sustained_new,7,4.020034313201904,0.7675002813339233,0.5483657121658325,0.20399299263954163,0.28019922971725464
986,sustained_new,8,4.255312919616699,0.7420787811279297,0.5475968718528748,0.20369969308376312,0.2802300453186035
986,shock_recovery,0,1.0364887714385986,0.9824079871177673,0.5414381623268127,0.2025841623544693,0.2823750376701355
986,shock_recovery,1,1.0329164266586304,0.9840447306632996,0.5412020683288574,0.20257236063480377,0.29051101207733154
986,shock_recovery,2,1.182897925376892,0.9808531403541565,0.5400457382202148,0.20240335166454315,0.29053759574890137
986,shock_recovery,3,1.39142644405365,0.9746931791305542,0.5383189916610718,0.20214636623859406,0.2905855178833008
986,shock_recovery,4,1.6086790561676025,0.9667803645133972,0.5362305045127869,0.2018478661775589,0.2906426191329956
86,stable_old,1,0.33743077516555786,0.9991316199302673,0.2559843957424164,0.25576356053352356,0.2810639441013336
86,stable_old,2,0.6184410452842712,0.9968021512031555,0.2540516257286072,0.25621068477630615,0.2814582586288452
86,stable_old,3,0.8573001027107239,0.9933885931968689,0.252324640750885,0.2566908597946167,0.2818271517753601
86,stable_old,4,1.0632495880126953,0.989222526550293,0.25077447295188904,0.2571972608566284,0.2821648120880127
86,stable_old,5,1.2424319982528687,0.984586775302887,0.249380424618721,0.25771886110305786,0.28246796131134033
86,stable_old,6,1.399125576019287,0.9797147512435913,0.2481263428926468,0.2582441568374634,0.2827359139919281
86,stable_old,7,1.5364980697631836,0.9747908115386963,0.24699850380420685,0.2587628662586212,0.28296971321105957
86,stable_old,8,1.657047986984253,0.9699540138244629,0.24598480761051178,0.25926706194877625,0.28317153453826904
86,sustained_new,1,0.5769892334938049,0.9955291748046875,0.2565498352050781,0.2563946545124054,0.28803157806396484
86,sustained_new,2,1.0142980813980103,0.9867458939552307,0.25492873787879944,0.2574543058872223,0.2880207896232605
86,sustained_new,3,1.352054476737976,0.9770874977111816,0.25350096821784973,0.2584802210330963,0.2880513370037079
